"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","228.50","227.60","230.00","227.00","431.53K","0.39%"
"11/30/2023","227.60","227.30","229.20","226.00","366.36K","0.13%"
"11/29/2023","227.30","229.60","231.20","226.20","423.80K","-1.00%"
"11/28/2023","229.60","227.30","231.70","224.30","552.68K","1.01%"
"11/27/2023","227.30","231.60","232.90","222.90","841.60K","-1.86%"
"11/26/2023","231.60","234.50","234.50","228.70","442.65K","-1.24%"
"11/25/2023","234.50","232.80","235.60","232.40","317.79K","0.73%"
"11/24/2023","232.80","233.80","236.40","231.60","623.61K","-0.39%"
"11/23/2023","233.70","236.10","239.00","230.50","729.59K","-1.02%"
"11/22/2023","236.10","225.70","238.30","225.21","1.82M","4.61%"
"11/21/2023","225.70","253.10","271.14","224.11","4.11M","-10.83%"
"11/20/2023","253.10","246.31","267.71","240.18","1.57M","2.76%"
"11/19/2023","246.31","244.80","246.80","241.90","392.99K","0.62%"
"11/18/2023","244.80","244.89","245.20","238.80","497.98K","0.00%"
"11/17/2023","244.79","242.70","245.90","238.51","776.22K","0.86%"
"11/16/2023","242.70","253.79","255.60","240.30","1.11M","-4.37%"
"11/15/2023","253.79","242.20","254.20","242.10","936.47K","4.79%"
"11/14/2023","242.20","241.19","249.38","235.42","1.02M","0.42%"
"11/13/2023","241.19","247.40","250.19","240.30","976.30K","-2.51%"
"11/12/2023","247.40","251.59","251.90","245.44","656.51K","-1.67%"
"11/11/2023","251.59","251.10","255.19","246.20","761.82K","0.28%"
"11/10/2023","250.90","251.70","257.90","248.21","837.13K","-0.32%"
"11/09/2023","251.70","246.71","255.60","241.70","1.36M","2.02%"
"11/08/2023","246.71","246.30","248.09","244.30","513.26K","0.17%"
"11/07/2023","246.30","255.10","255.49","242.30","896.21K","-3.45%"
"11/06/2023","255.09","244.00","255.50","241.70","870.25K","4.54%"
"11/05/2023","244.00","237.10","245.50","236.10","631.92K","2.91%"
"11/04/2023","237.10","230.30","238.60","229.30","400.42K","2.95%"
"11/03/2023","230.30","231.80","232.40","225.90","513.43K","-0.65%"
"11/02/2023","231.80","227.90","233.40","227.50","855.20K","1.71%"
"11/01/2023","227.90","226.30","229.29","222.60","592.52K","0.71%"
"10/31/2023","226.30","227.90","229.29","224.00","477.45K","-0.70%"
"10/30/2023","227.90","227.00","229.10","224.80","412.06K","0.40%"
"10/29/2023","227.00","225.70","228.10","223.70","277.32K","0.58%"
"10/28/2023","225.70","224.40","228.29","224.20","360.35K","0.58%"
"10/27/2023","224.40","223.20","230.77","219.90","1.00M","0.54%"
"10/26/2023","223.20","222.10","228.00","219.49","754.09K","0.49%"
"10/25/2023","222.10","225.10","229.00","221.70","637.80K","-1.33%"
"10/24/2023","225.10","228.30","237.49","222.11","1.05M","-1.40%"
"10/23/2023","228.30","217.80","230.40","217.00","864.75K","4.82%"
"10/22/2023","217.80","214.10","218.10","213.60","299.88K","1.73%"
"10/21/2023","214.10","212.10","215.70","211.40","268.38K","0.94%"
"10/20/2023","212.10","211.10","216.39","210.60","355.28K","0.47%"
"10/19/2023","211.10","210.20","211.40","208.20","281.51K","0.43%"
"10/18/2023","210.20","211.50","213.70","209.90","268.39K","-0.62%"
"10/17/2023","211.50","214.70","214.90","209.60","385.04K","-1.49%"
